
W1 -  CPI Weights: 2008 to 2026																															
 parts per 1000																															
2015=100																															

			2008	2009	2010	2011	2012	2013	2014	2015	2016	"2017 
Jan"	"2017 
Feb-Dec"	"2018
Jan"	"2018 
Feb-Dec"	"2019
Jan"	"2019 
Feb-Dec"	"2020
Jan"	"2020
Feb-Dec"	"2021
Jan"	"2021
Feb-Dec"	"2022
Jan"	"2022
Feb-Dec"	"2023
Jan"	"2023
Feb-Dec"	"20241
Jan"	"20241
Feb-Dec"	"20251
Jan"	"20251
Feb-Dec"	"20261
Jan"	"20261
Feb-Dec"

	CJUY	01.2 Non-alcoholic beverages	14	14	12	15	14	13	13	13	12	12	12	11	11	12	12	11	11	13	13	11	11	12	12	11.7179	11.7253	11.6897	11.9489	12.1967	12.3085
	CJWK	01.2.1 Coffee, tea and cocoa	3	4	3	4	4	3	3	3	3	3	3	3	3	3	3	3	3	4	4	2	2	3	3	2.6192	2.5899	2.5507	2.6717	2.7435	2.7627
	L85J	01.2.1.1 Coffee	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.68	1.68	1.68	1.68	1.80	1.80	1.83	1.83	1.77	1.80	2.36	2.36	1.26	1.28	1.92	1.95	1.6998	1.6526	1.5460	1.6663	1.8140	1.8326
	L85K	01.2.1.2 Tea	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.05	1.05	1.05	1.05	0.96	0.96	0.96	0.96	0.99	0.99	1.32	1.32	0.60	0.58	0.87	0.84	0.6966	0.7052	0.8093	0.8079	0.7169	0.7129
	L85L	01.2.1.3 Cocoa and powdered chocolate	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.27	0.27	0.27	0.27	0.24	0.24	0.21	0.21	0.24	0.21	0.32	0.32	0.14	0.14	0.21	0.21	0.2228	0.2320	0.1955	0.1976	0.2126	0.2172
	CJWL	01.2.2 Mineral waters, soft drinks and juices	11	10	9	11	10	10	10	10	9	9	9	8	8	9	9	8	8	9	9	9	9	9	9	9.0987	9.1354	9.1389	9.2772	9.4532	9.5458
	L85M	01.2.2.1 Mineral or spring waters	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.72	0.72	0.72	0.72	0.80	0.80	0.90	0.90	0.80	0.80	0.99	0.90	0.90	0.90	0.81	0.81	0.9222	0.9058	0.9348	0.9391	0.8574	0.8411
	L85N	01.2.2.2 Soft drinks	 ..	 ..	 ..	 ..	 ..	 ..	 ..	5.13	5.13	5.13	5.13	4.64	4.64	5.31	5.31	4.64	4.64	5.22	5.22	5.40	5.40	5.58	5.58	5.4370	5.4893	5.5783	5.6312	6.0396	6.1662
	L85O	01.2.2.3 Fruit and vegetable juices	 ..	 ..	 ..	 ..	 ..	 ..	 ..	3.15	3.15	3.15	3.15	2.56	2.56	2.79	2.79	2.56	2.56	2.79	2.88	2.70	2.70	2.61	2.61	2.7395	2.7404	2.6259	2.7069	2.5562	2.5385

	CJUZ	02.1 Alcoholic beverages	18	21	18	19	18	20	20	19	19	19	20	19	20	19	19	19	20	22	23	25	27	21	21	20.1325	20.9310	19.5323	20.0526	20.4724	20.9379
	CJWM	02.1.1 Spirits	5	6	5	5	5	6	6	5	5	5	6	5	6	5	5	5	6	6	7	7	8	6	6	5.7560	6.0627	5.4175	5.6214	5.7785	5.9470
	CJWN	02.1.2 Wine	9	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	10	11	12	9	9	9.0604	9.4115	9.1863	9.4205	9.7966	9.9487
	L85Q	02.1.2.1 Wine from grapes	 ..	 ..	 ..	 ..	 ..	 ..	 ..	7.65	7.65	7.65	7.65	7.65	7.65	7.65	7.65	7.65	7.65	8.50	8.50	9.35	10.20	7.56	7.56	7.4873	7.8022	7.5934	7.7836	8.1027	8.2266
	L85R	02.1.2.2 Wine from other fruits	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	1.10	1.10	1.21	1.32	1.08	1.08	1.1834	1.1945	1.1646	1.1804	1.2292	1.2425
	L85S	02.1.2.3 Fortified wines	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.36	0.36	0.36	0.36	0.36	0.36	0.36	0.36	0.36	0.36	0.40	0.40	0.44	0.48	0.36	0.36	0.3898	0.4148	0.4282	0.4565	0.4646	0.4797
	CJWO	02.1.3 Beer	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	6	6	7	7	6	6	5.3161	5.4568	4.9285	5.0107	4.8974	5.0422
	L85T	02.1.3.1 Lager beer	 ..	 ..	 ..	 ..	 ..	 ..	 ..	4.15	4.15	4.15	4.15	4.15	4.15	4.15	4.15	4.15	4.20	5.04	5.04	4.69	4.69	3.54	3.66	3.3105	3.4326	3.0060	3.0623	2.9323	3.0350
	L85Y	02.1.3.2 Other alcoholic beer	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.80	0.96	0.96	2.31	2.31	2.46	2.34	2.0056	2.0243	1.9225	1.9484	1.9651	2.0072

